SQL> start Q1.sql

Procedure created.

No errors.

PL/SQL procedure successfully completed.


NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Maher                     director                 100000                       
Messina                   manager                  500000                       
Newell                    advisor                  130000                       
Noel                      advisor                  130000                       
Oleske                    assistant                600000                       
Page                      assistant                600000                       
Psaki                     assistant                600000                       
Reinstein                 manager                  500000                       
Roche                     manager                  500000                       
Rouse                     manager                  500000                       
Sathe                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Schulman                  assistant                600000                       
Seymour                   director                 100000                       
Shapiro                   advisor                  130000                       
Shaw                      advisor                  130000                       
Sher                      supervisor               800000                       
Showers                   assistant                600000                       
Siegel                    manager                  500000                       
Sirbu                     assistant                600000                       
Stephens                  assistant                600000                       
Sutton                    assistant                600000                       
Terry                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Vanderslice               manager                  500000                       
Adams                     supervisor               800000                       
Anello                    manager                  500000                       
Barnes                    advisor                  130000                       
Bates                     assistant                600000                       
Bedingfield               advisor                  130000                       
Chaifetz                  advisor                  130000                       
Clarke                    assistant                600000                       
Crutchfield               manager                  500000                       
Dalheim                   assistant                600000                       
Ealons                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Escobar                   director                 100000                       
Farrell                   supervisor               800000                       
Gaspard                   manager                  500000                       
Groth                     assistant                600000                       
Heimbach                  director                 100000                       
Jawando                   manager                  500000                       
Kennedy                   advisor                  130000                       
Konwinski                 manager                  500000                       
Lewis                     manager                  500000                       
Liddell-Westefeld         assistant                600000                       
Limon                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Loeb                      director                 100000                       
London                    assistant                600000                       
Wear                      assistant                600000                       
White                     supervisor               800000                       
Lynn                      director                 100000                       
Mackey                    manager                  500000                       
McCarthy                  advisor                  130000                       
Mosteller                 manager                  500000                       
Murtha                    advisor                  130000                       
Papas                     supervisor               800000                       
Paulsen                   advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Raizk                     supervisor               800000                       
Reed                      manager                  500000                       
Sahgal                    assistant                600000                       
Schafer                   director                 100000                       
Sibley                    assistant                600000                       
Starkey                   manager                  500000                       
Swanson                   advisor                  130000                       
Tchen                     director                 100000                       
Agnew                     manager                  500000                       
Bauer                     advisor                  130000                       
Bhowmik                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Buffett                   advisor                  130000                       
Cherlin                   manager                  500000                       
Cizner                    director                 100000                       
Colvin                    manager                  500000                       
Cutter                    advisor                  130000                       
Deese                     advisor                  130000                       
Donilon                   director                 100000                       
Fernandez                 advisor                  130000                       
Frye                      assistant                600000                       
Gonzalez                  manager                  500000                       
Hoang                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Inouye                    assistant                600000                       
Larus                     manager                  500000                       
Watson                    advisor                  130000                       
Wright                    supervisor               800000                       
Martin                    assistant                600000                       
Mattson                   supervisor               800000                       
Milakofsky                director                 100000                       
Mu??oz                    director                 100000                       
Odio                      manager                  500000                       
Pope                      assistant                600000                       
Rodriguez                 advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Thomas                    manager                  500000                       
Belive                    director                 100000                       
Brundage                  director                 100000                       
Cardwell                  director                 100000                       
Chiodo                    director                 100000                       
Crowley                   supervisor               800000                       
Davies                    supervisor               800000                       
Edgerton                  manager                  500000                       
Eisen                     supervisor               800000                       
Gillette                  manager                  500000                       
Gottry                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Grant                     assistant                600000                       
Harper                    director                 100000                       
Hurwitz                   assistant                600000                       
Kammerer                  supervisor               800000                       
Kommareddi                manager                  500000                       
LaBolt                    supervisor               800000                       
Lewin                     manager                  500000                       
Lippert                   assistant                600000                       
Lu                        director                 100000                       
Narechania                director                 100000                       
Pipkins                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Portilla                  supervisor               800000                       
Richardson                manager                  500000                       
Roach                     advisor                  130000                       
Samuels                   advisor                  130000                       
Simas                     manager                  500000                       
Spencer                   director                 100000                       
Trainor                   manager                  500000                       
Turk                      manager                  500000                       
Valencia                  manager                  500000                       
Ayling                    supervisor               800000                       
Binns                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bond                      director                 100000                       
Brewer                    advisor                  130000                       
Campos                    assistant                600000                       
Claude                    manager                  500000                       
Cohen                     supervisor               800000                       
Dunn                      manager                  500000                       
Emanuel                   director                 100000                       
Greene                    manager                  500000                       
Hegde                     assistant                600000                       
Hiatt                     director                 100000                       
Kochman                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Krass                     supervisor               800000                       
Leitner-Laserna           manager                  500000                       
Lezotte                   manager                  500000                       
Liegel                    supervisor               800000                       
Wade                      director                 100000                       
McGrath                   assistant                600000                       
Mrazek                    director                 100000                       
Paige                     manager                  500000                       
Papa                      manager                  500000                       
Phadke                    director                 100000                       
Schuker                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Smoot                     supervisor               800000                       
Stoev                     director                 100000                       
Summers                   manager                  500000                       
Sweeney                   assistant                600000                       
Tennison                  supervisor               800000                       
Tucker                    manager                  500000                       
Anderson                  manager                  500000                       
Beinart                   assistant                600000                       
Blake                     assistant                600000                       
Coven                     supervisor               800000                       
Cunningham                supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeRosa                    advisor                  130000                       
Finlen                    advisor                  130000                       
Fitts                     assistant                600000                       
Gage                      manager                  500000                       
Harris                    advisor                  130000                       
Hash                      manager                  500000                       
Jackson                   advisor                  130000                       
Jarvis-Shean              manager                  500000                       
Kalbaugh                  assistant                600000                       
Kale                      director                 100000                       
Levine                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Webster                   assistant                600000                       
Zelman                    manager                  500000                       
McBride                   director                 100000                       
McNeal                    assistant                600000                       
Nathan                    supervisor               800000                       
Ocampo                    manager                  500000                       
Olmos                     assistant                600000                       
Ortiz                     director                 100000                       
Pourmorad                 manager                  500000                       
Robertson                 manager                  500000                       
Rosalsky                  manager                  500000                       

NAME                      TITLE                    SALARY                       
